Ortsnetzkennzahl,Ortsnetzname,Bundesland,PLZ
00497445,Pfalzgrafenweiler,Baden-Württemberg,72285; 72299
00497446,Lossburg,Baden-Württemberg,72290; 72291
00497447,Baiersbronn-Schwarzenberg,Baden-Württemberg,NA
00497448,Seewald,Baden-Württemberg,72297; 72297; 72297
00497449,Baiersbronn-Obertal,Baden-Württemberg,NA
00497451,Horb am Neckar,Baden-Württemberg,72160; 72160
00497452,Nagold,Baden-Württemberg,71131; 71159; 72202; 75399; 72229
00497453,Altensteig Württ,Baden-Württemberg,72213; 72227; 72294; 72299
00497454,Sulz am Neckar,Baden-Württemberg,72172; 72189; 72186
00497455,Dornhan,Baden-Württemberg,72291; 72175
00497456,Haiterbach,Baden-Württemberg,72221
00497457,Rottenburg-Ergenzingen,Baden-Württemberg,71149
00497458,Ebhausen,Baden-Württemberg,72224
00497459,Nagold-Hochdorf,Baden-Württemberg,72184
00497461,Tuttlingen,Baden-Württemberg,78532; 78573
00497462,Immendingen,Baden-Württemberg,78194
00497463,Mühlheim an der Donau,Baden-Württemberg,78567; 78600; 78570; 78567
00497464,Talheim Kr Tuttlingen,Baden-Württemberg,78591; 78606; 78607; 78609
00497465,Emmingen-Liptingen,Baden-Württemberg,78576
00497466,Beuron,Baden-Württemberg,78580; 88631; 78597; 88637
00497467,Neuhausen ob Eck,Baden-Württemberg,78579
00497471,Hechingen,Baden-Württemberg,72411; 72379; 72414
00497472,Rottenburg am Neckar,Baden-Württemberg,72149; 72108
00497473,Mössingen,Baden-Württemberg,72116; 72147; 72131
00497474,Haigerloch,Baden-Württemberg,72401
00497475,Burladingen,Baden-Württemberg,72393
00497476,Bisingen,Baden-Württemberg,72406; 72415
00497477,Jungingen b Hechingen,Baden-Württemberg,72417
00497478,Hirrlingen,Baden-Württemberg,72145
00497482,Horb-Dettingen,Baden-Württemberg,NA
00497483,Horb-Mühringen,Baden-Württemberg,72181
00497484,Simmersfeld,Baden-Württemberg,72226
00497485,Empfingen,Baden-Württemberg,72186
00497486,Horb-Altheim,Baden-Württemberg,NA
00497502,Wolpertswende,Baden-Württemberg,88255; 88284
00497503,Wilhelmsdorf Württ,Baden-Württemberg,88271
00497504,Horgenzell,Baden-Württemberg,88263
00497505,Fronreute,Baden-Württemberg,88373; 88273; 88373
00497506,Wangen-Leupolz,Baden-Württemberg,NA
0049751,Ravensburg,Baden-Württemberg,88255; 88276; 88361; 88287; 88487; 89614; 88212; 88213; 88214; 88489; 88250; 88250
00497520,Bodnegg,Baden-Württemberg,88279; 88285
00497522,Wangen im Allgäu,Baden-Württemberg,88239
00497524,Bad Waldsee,Baden-Württemberg,88339
00497525,Aulendorf,Baden-Württemberg,88326
00497527,Wolfegg,Baden-Württemberg,88368; 88364
00497528,Neukirch b Tettnang,Baden-Württemberg,88099
00497529,Waldburg Württ,Baden-Württemberg,88281; 88267; 88289
00497531,Konstanz,Baden-Württemberg,78465; 78465; 78462; 78464; 78465; 78467
00497532,Meersburg,Baden-Württemberg,88718; 88709; 88709; 88719
00497533,Allensbach,Baden-Württemberg,78476
00497534,Reichenau Baden,Baden-Württemberg,78479
00497541,Friedrichshafen,Baden-Württemberg,88097; 88045; 88046; 88048
00497542,Tettnang,Baden-Württemberg,88074; 88074; 88069
00497543,Kressbronn am Bodensee,Baden-Württemberg,88079; 88085; 88079; 88079
00497544,Markdorf,Baden-Württemberg,88697; 88677
00497545,Immenstaad am Bodensee,Baden-Württemberg,88090
00497546,Oberteuringen,Baden-Württemberg,88094
00497551,Überlingen Bodensee,Baden-Württemberg,88696; 78354; 88662
00497552,Pfullendorf,Baden-Württemberg,88630
00497553,Salem Baden,Baden-Württemberg,88682
00497554,Heiligenberg Baden,Baden-Württemberg,88699; 88633
00497555,Deggenhausertal,Baden-Württemberg,88693
00497556,Uhldingen-Mühlhofen,Baden-Württemberg,88690
00497557,Herdwangen-Schönach,Baden-Württemberg,88634; 78355
00497558,Illmensee,Baden-Württemberg,88636
00497561,Leutkirch im Allgäu,Baden-Württemberg,88299
00497562,Isny im Allgäu,Baden-Württemberg,88316
00497563,Kisslegg,Baden-Württemberg,88353
00497564,Bad Wurzach,Baden-Württemberg,88410
00497565,Aichstetten Kr Ravensburg,Baden-Württemberg,88317; 88319
00497566,Argenbühl,Baden-Württemberg,88260
00497567,Leutkirch-Friesenhofen,Baden-Württemberg,NA
00497568,Bad Wurzach-Hauerz,Baden-Württemberg,88430
00497569,Isny-Eisenbach,Baden-Württemberg,NA
00497570,Sigmaringen-Gutenstein,Baden-Württemberg,NA
00497571,Sigmaringen,Baden-Württemberg,72514; 72488; 72517
00497572,Mengen Württ,Baden-Württemberg,88367; 88512; 72516
00497573,Stetten am kalten Markt,Baden-Württemberg,72510
00497574,Gammertingen,Baden-Württemberg,72501; 72513; 72501
00497575,Messkirch,Baden-Württemberg,88605
00497576,Krauchenwies,Baden-Württemberg,72505
00497577,Veringenstadt,Baden-Württemberg,72511; 72419; 72419; 72419; 72519
00497578,Wald Hohenz,Baden-Württemberg,88639
00497579,Schwenningen Baden,Baden-Württemberg,72477
00497581,Saulgau,Baden-Württemberg,88348
00497582,Bad Buchau,Baden-Württemberg,88348; 88422; 88441; 88422; 88441; 88422; 88422; 88422; 88422; 88422; 88422
00497583,Bad Schussenried,Baden-Württemberg,88427; 88456
00497584,Altshausen,Baden-Württemberg,88361; 88370; 88371; 88361
00497585,Ostrach,Baden-Württemberg,88356
00497586,Herbertingen,Baden-Württemberg,88518
00497587,Hosskirch,Baden-Württemberg,88379; 88374; 88376; 88377; 88379
00497602,Oberried Breisgau,Baden-Württemberg,79254
0049761,Freiburg im Breisgau,Baden-Württemberg,79280; 79098; 79100; 79102; 79104; 79106; 79108; 79110; 79111; 79112; 79114; 79115; 79117; 79194; 79289; 79249; 79294; 79299
00497620,Schopfheim-Gersbach,Baden-Württemberg,NA
00497621,Lörrach,Baden-Württemberg,79589; 79591; 79594; 79539; 79540; 79541; 79595; 79597; 79576; 79599
00497622,Schopfheim,Baden-Württemberg,79688; 79689; 79650; 79699
00497623,Rheinfelden Baden,Baden-Württemberg,79618
00497624,Grenzach-Wyhlen,Baden-Württemberg,79639
00497625,Zell im Wiesental,Baden-Württemberg,79685; 79669
00497626,Kandern,Baden-Württemberg,79400; 79429
00497627,Steinen Kr Lörrach,Baden-Württemberg,79585
00497628,Efringen-Kirchen,Baden-Württemberg,79588; 79592
00497629,Tegernau Baden,Baden-Württemberg,79683; 79692; 79692; 79692; 79692; 79697
00497631,Müllheim Baden,Baden-Württemberg,79424; 79426; 79379
00497632,Badenweiler,Baden-Württemberg,79410
00497633,Staufen im Breisgau,Baden-Württemberg,79189; 79283; 79238; 79258; 79219
00497634,Sulzburg,Baden-Württemberg,79282; 79427; 79423; 79395; 79295
00497635,Schliengen,Baden-Württemberg,79415; 79418
00497636,Münstertal Schwarzwald,Baden-Württemberg,79244
00497641,Emmendingen,Baden-Württemberg,79312; 79312; 79276; 79350; 79331
00497642,Endingen Kaiserstuhl,Baden-Württemberg,79346; 79362; 79359; 79361; 79369
00497643,Herbolzheim Breisgau,Baden-Württemberg,79336; 79365
00497644,Kenzingen,Baden-Württemberg,79341; 79364
00497645,Freiamt,Baden-Württemberg,79348
00497646,Weisweil Breisgau,Baden-Württemberg,79367
00497651,Titisee-Neustadt,Baden-Württemberg,79822
00497652,Hinterzarten,Baden-Württemberg,79874; 79856
00497653,Lenzkirch,Baden-Württemberg,79853
00497654,Löffingen,Baden-Württemberg,79877; 79843
00497655,Feldberg-Altglashütten,Baden-Württemberg,NA
00497656,Schluchsee,Baden-Württemberg,79859
00497657,Eisenbach Hochschwarzwald,Baden-Württemberg,79871
00497660,St Peter Schwarzw,Baden-Württemberg,79271
00497661,Kirchzarten,Baden-Württemberg,79256; 79199; 79252
00497662,Vogtsburg im Kaiserstuhl,Baden-Württemberg,79235
00497663,Eichstetten,Baden-Württemberg,79353; 79268; 79356
00497664,Freiburg-Tiengen,Baden-Württemberg,79285; 79292; 79227
00497665,March Breisgau,Baden-Württemberg,79288; 79232; 79224
00497666,Denzlingen,Baden-Württemberg,79211; 79194; 79279
00497667,Breisach am Rhein,Baden-Württemberg,79206
00497668,Ihringen,Baden-Württemberg,79241; 79291
00497669,St Märgen,Baden-Württemberg,79274
00497671,Todtnau,Baden-Württemberg,79674
00497672,St Blasien,Baden-Württemberg,79875; 79837; 79862; 79837; 79837; 79837
00497673,Schönau im Schwarzwald,Baden-Württemberg,79677; 79677; 79677; 79691; 79677; 79677; 79677; 79694; 79677; 79695
00497674,Todtmoos,Baden-Württemberg,79682
00497675,Bernau Baden,Baden-Württemberg,79872
00497676,Feldberg Schwarzwald,Baden-Württemberg,79868
00497681,Waldkirch Breisgau,Baden-Württemberg,79183
00497682,Elzach,Baden-Württemberg,79215; 79215; 79297
00497683,Simonswald,Baden-Württemberg,79263
00497684,Glottertal,Baden-Württemberg,79286
00497685,Gutach-Bleibach,Baden-Württemberg,79261
00497702,Blumberg Baden,Baden-Württemberg,78176
00497703,Bonndorf im Schwarzwald,Baden-Württemberg,79848
00497704,Geisingen Baden,Baden-Württemberg,78187
00497705,Wolterdingen Schwarzw,Baden-Württemberg,NA
00497706,Oberbaldingen,Baden-Württemberg,78073
00497707,Bräunlingen,Baden-Württemberg,78199
00497708,Geisingen-Leipferdingen,Baden-Württemberg,NA
00497709,Wutach,Baden-Württemberg,79879
0049771,Donaueschingen,Baden-Württemberg,78166; 78183
00497720,Schwenningen a Neckar,Baden-Württemberg,78083
00497721,Villingen i Schwarzw,Baden-Württemberg,78086; 78087; 78089; 78089; 78048; 78050; 78052; 78054; 78056
00497722,Triberg im Schwarzwald,Baden-Württemberg,78136; 78141; 78098
00497723,Furtwangen im Schwarzwald,Baden-Württemberg,78120; 78148
00497724,St Georgen im Schwarzwald,Baden-Württemberg,78112
00497725,Königsfeld im Schwarzwald,Baden-Württemberg,78126
00497726,Bad Dürrheim,Baden-Württemberg,NA
00497727,Vöhrenbach,Baden-Württemberg,78147
00497728,Niedereschach,Baden-Württemberg,78078
00497729,Tennenbronn,Baden-Württemberg,78144
00497731,Singen Hohentwiel,Baden-Württemberg,78244; 78239; 78224
00497732,Radolfzell am Bodensee,Baden-Württemberg,78345; 78315
00497733,Engen Hegau,Baden-Württemberg,78234; 78259
00497734,Gailingen,Baden-Württemberg,78266; 78262
00497735,Öhningen,Baden-Württemberg,78343; 78337
00497736,Tengen,Baden-Württemberg,78250
00497738,Steisslingen,Baden-Württemberg,78256
00497739,Hilzingen,Baden-Württemberg,78247
00497741,Tiengen Hochrhein,Baden-Württemberg,79790; 79787; 79761
00497742,Klettgau,Baden-Württemberg,79802; 79801; 79771
00497743,Ühlingen-Birkendorf,Baden-Württemberg,NA
00497744,Stühlingen,Baden-Württemberg,79780
00497745,Jestetten,Baden-Württemberg,79798; 79807
00497746,Wutöschingen,Baden-Württemberg,79805; 79793
00497747,Berau,Baden-Württemberg,79777
00497748,Grafenhausen Hochschwarzw,Baden-Württemberg,79865
00497751,Waldshut,Baden-Württemberg,79804
00497753,Albbruck,Baden-Württemberg,79774
00497754,Görwihl,Baden-Württemberg,79733
00497755,Weilheim Kr Waldshut,Baden-Württemberg,79809
00497761,Bad Säckingen,Baden-Württemberg,79713
00497762,Wehr Baden,Baden-Württemberg,79686; 79739; 79664
00497763,Murg,Baden-Württemberg,79725; 79730
00497764,Herrischried,Baden-Württemberg,79737
00497765,Rickenbach Hotzenw,Baden-Württemberg,79736
00497771,Stockach,Baden-Württemberg,78359; 78333
00497773,Bodman-Ludwigshafen,Baden-Württemberg,78351
00497774,Eigeltingen,Baden-Württemberg,78267; 78253; 78269
00497775,Mühlingen,Baden-Württemberg,78357
00497777,Sauldorf,Baden-Württemberg,88637; 88605
00497802,Oberkirch Baden,Baden-Württemberg,77794; 77704
00497803,Gengenbach,Baden-Württemberg,77791; 77723; 77797
00497804,Oppenau,Baden-Württemberg,77728; 72250
00497805,Appenweier,Baden-Württemberg,77767
00497806,Bad Peterstal-Griesbach,Baden-Württemberg,77740
00497807,Neuried Ortenaukreis,Baden-Württemberg,77743
00497808,Hohberg b Offenburg,Baden-Württemberg,77749
0049781,Offenburg,Baden-Württemberg,77770; 77652; 77654; 77656; 77799; 77746
00497821,Lahr Schwarzwald,Baden-Württemberg,77948; 77933
00497822,Ettenheim,Baden-Württemberg,77955; 77966; 77975; 77977
00497823,Seelbach Schutter,Baden-Württemberg,77960
00497824,Schwanau,Baden-Württemberg,77974; 77963
00497825,Kippenheim,Baden-Württemberg,77971; 77972
00497826,Schuttertal,Baden-Württemberg,77978
00497831,Hausach,Baden-Württemberg,77756
00497832,Haslach im Kinzigtal,Baden-Württemberg,77716; 77716; 77716; 77796; 77790
00497833,Hornberg Schwarzwaldbahn,Baden-Württemberg,77793; 78132
00497834,Wolfach,Baden-Württemberg,77709; 77709
00497835,Zell am Harmersbach,Baden-Württemberg,77781; 77736
00497836,Schiltach,Baden-Württemberg,77773; 77761
00497837,Oberharmersbach,Baden-Württemberg,77784
00497838,Nordrach,Baden-Württemberg,77787
00497839,Schapbach,Baden-Württemberg,77776
00497841,Achern,Baden-Württemberg,77855; 77886; 77880; 77887
00497842,Kappelrodeck,Baden-Württemberg,77876; 77883; 77889
00497843,Renchen,Baden-Württemberg,77871
00497844,Rheinau,Baden-Württemberg,77866
00497851,Kehl,Baden-Württemberg,77694
00497852,Willstätt,Baden-Württemberg,77731
00497853,Kehl-Bodersweier,Baden-Württemberg,NA
00497854,Kehl-Goldscheuer,Baden-Württemberg,NA
00497903,Mainhardt,Baden-Württemberg,71577; 71577; 74535; 74523; 74523
00497904,Ilshofen,Baden-Württemberg,74532; 74532; 74532; 74549
00497905,Langenburg,Baden-Württemberg,74595
00497906,Braunsbach,Baden-Württemberg,74542
00497907,Schwäbisch Hall-Sulzdorf,Baden-Württemberg,74541
0049791,Schwäbisch Hall,Baden-Württemberg,74523; 74523; 74523; 74544; 74545; 74538; 74523; 74547
00497930,Boxberg Baden,Baden-Württemberg,97944
00497931,Bad Mergentheim,Baden-Württemberg,97980; 97999
00497932,Niederstetten Württ,Baden-Württemberg,97996
00497933,Creglingen,Baden-Württemberg,97993; 97990
00497934,Weikersheim,Baden-Württemberg,97990
00497935,Schrozberg,Baden-Württemberg,74575
00497936,Schrozberg-Bartenstein,Baden-Württemberg,NA
00497937,Dörzbach,Baden-Württemberg,74677
00497938,Mulfingen Jagst,Baden-Württemberg,74673
00497939,Schrozberg-Spielbach,Baden-Württemberg,NA
00497940,Künzelsau,Baden-Württemberg,74653; 74653; 74676
00497941,Öhringen,Baden-Württemberg,74613; 74629
00497942,Neuenstein Württ,Baden-Württemberg,74632; 74632; 74638
00497943,Schöntal Jagst,Baden-Württemberg,74249; 74214; 74249
00497944,Kupferzell,Baden-Württemberg,74635
00497945,Wüstenrot,Baden-Württemberg,71543
00497946,Bretzfeld,Baden-Württemberg,74626
00497947,Forchtenberg,Baden-Württemberg,74670; 74632; 74679
00497948,Öhringen-Ohrnberg,Baden-Württemberg,74249; 74249; 74639; 74639
00497949,Pfedelbach-Untersteinbach,Baden-Württemberg,NA
00497950,Schnelldorf,Bayern,91625
00497951,Crailsheim,Baden-Württemberg,74564; 74564; 74564; 74589
00497952,Gerabronn,Baden-Württemberg,74582; 74585
00497953,Blaufelden,Baden-Württemberg,74572
00497954,Kirchberg an der Jagst,Baden-Württemberg,74592
00497955,Wallhausen Württ,Baden-Württemberg,74599
00497957,Kressberg,Baden-Württemberg,74594; 74594; 74597
00497958,Rot Am See-Brettheim,Baden-Württemberg,74585
00497959,Frankenhardt,Baden-Württemberg,73494; 74586
00497961,Ellwangen Jagst,Baden-Württemberg,73479; 73479; 73491; 73492
00497962,Fichtenau,Baden-Württemberg,74579; 73488; 74579; 74579; 74579; 74579
00497963,Adelmannsfelden,Baden-Württemberg,73486; 73453
00497964,Stödtlen,Baden-Württemberg,73495; 73497; 73499
00497965,Ellwangen-Röhlingen,Baden-Württemberg,NA
00497966,Unterschneidheim,Baden-Württemberg,73485; 73485
00497967,Jagstzell,Baden-Württemberg,74597; 73494; 74597; 74597; 73494; 73489; 73489; 73489; 73489; 74597; 73494; 73489; 74597
00497971,Gaildorf,Baden-Württemberg,74427; 74405
00497972,Gschwend b Gaildorf,Baden-Württemberg,74417
00497973,Obersontheim,Baden-Württemberg,74424; 74423
00497974,Bühlerzell,Baden-Württemberg,74426
00497975,Untergröningen,Baden-Württemberg,73453; 73453; 73569; 73569; 73453; 73569; 73453; 73453; 73453; 73453
00497976,Sulzbach-Laufen,Baden-Württemberg,74429
00497977,Oberrot b Gaildorf,Baden-Württemberg,74420
00498020,Weyarn,Bayern,83739; 83629
00498021,Waakirchen,Bayern,83679; 83666; 83627
00498022,Tegernsee,Bayern,83707; 83703; 83700; 83700; 83707; 83700; 83684
00498023,Bayrischzell,Bayern,83735
00498024,Holzkirchen,Bayern,83626; 83607; 83624; 83626
00498025,Miesbach,Bayern,83739; 83739; 83739; 83739; 83714; 83739; 83739; 83739; 83739; 83739; 83739; 83737; 83714; 83739; 83739; 83714; 83739; 83739; 83739; 83739; 83739; 83739; 83714; 83739; 83739; 83739; 83739
00498026,Hausham,Bayern,83734; 83727
00498027,Dietramszell,Bayern,83623
00498028,Fischbachau,Bayern,83730; 83739
00498029,Kreuth b Tegernsee,Bayern,83708; 83700
00498031,Rosenheim Oberbay,Bayern,83109; 83059; 83059; 83022; 83024; 83026
00498032,Rohrdorf Kr Rosenheim,Bayern,83552; 83101; 83122
00498033,Oberaudorf,Bayern,83088; 83080
00498034,Brannenburg,Bayern,83098; 83126; 83131
00498035,Raubling,Bayern,83115; 83064
00498036,Stephanskirchen Simssee,Bayern,83134; 83083; 83071; 83552
00498038,Vogtareuth,Bayern,83569
00498039,Rott a Inn,Bayern,83550; 83556; 83565; 83561; 83543; 83135
00498041,Bad Tölz,Bayern,83646; 83674; 83677; 83646
00498042,Lenggries,Bayern,83677; 83661
00498043,Jachenau,Bayern,83676
00498045,Lenggries-Fall,Bayern,NA
00498046,Bad Heilbrunn,Bayern,83670
00498051,Prien a Chiemsee,Bayern,83233; 83209; 83209; 83253
00498052,Aschau i Chiemgau,Bayern,83229; 83112
00498053,Bad Endorf,Bayern,83093; 83139
00498054,Breitbrunn a Chiemsee,Bayern,83254; 83256; 83256; 83257
00498055,Halfing,Bayern,83128; 83129; 83137
00498056,Eggstätt,Bayern,83125
00498057,Aschau-Sachrang,Bayern,83364
00498061,Bad Aibling,Bayern,83043
00498062,Bruckmühl Mangfall,Bayern,83052
00498063,Feldkirchen-Westerham,Bayern,85655; 83620
00498064,Au b Bad Aibling,Bayern,83739; 83739; 83739; 83739; 83739; 83739; 83739; 83739; 83739; 83739; 83739; 83739; 83739; 83739; 83739
00498065,Tuntenhausen-Schönau,Bayern,NA
00498066,Bad Feilnbach,Bayern,83075
00498067,Tuntenhausen,Bayern,83104
00498071,Wasserburg a Inn,Bayern,83547; 83533; 83549; 83512; 83512; 83564; 83512
00498072,Haag i OB,Bayern,83527; 83527
00498073,Gars a Inn,Bayern,83546; 83546; 83546; 83546; 83546; 83546; 83546; 83546; 83536; 83555; 83546; 83555; 83559; 83555; 83546; 83546; 83546; 83559; 83559; 83555; 83559; 83546; 84437; 83559; 83546; 83546; 83546; 83546; 83546; 83555; 83546; 83546; 83546; 83546; 83567; 83546; 83546; 83546
00498074,Schnaitsee,Bayern,83552; 83552; 83552; 83552; 83552; 83552; 83552; 83552; 83552; 83552; 83530; 83552; 83552; 83552
00498075,Amerang,Bayern,83552; 83123; 83552; 83552; 83119; 83552; 83552; 83119; 83552; 83552; 83552; 83552; 83552; 83552; 83552; 83552; 83552; 83552; 83552
00498076,Pfaffing,Bayern,83544; 83558; 83539; 83552; 83562
00498081,Dorfen Stadt,Bayern,84405
00498082,Schwindegg,Bayern,84419; 84405; 84419; 84431; 84419
00498083,Isen,Bayern,84424; 84435
00498084,Taufkirchen Vils,Bayern,85447; 84432; 84416; 84439; 84416; 84574
00498085,Sankt Wolfgang,Bayern,84427
00498086,Buchbach Oberbay,Bayern,84428; 84428
00498091,Kirchseeon,Bayern,85614; 85665
00498092,Grafing b München,Bayern,83565; 85617; 83565; 85567; 85560; 83565; 83565; 83553; 83565; 85567; 83565; 83565; 83565; 83565; 83565; 83565; 83565; 83565
00498093,Glonn Kr Ebersberg,Bayern,85625; 85625; 85655; 85655; 85667; 85655
00498094,Steinhöring,Bayern,85643
00498095,Aying,Bayern,85653; 85658; 85655; 85655; 85655; 85655; 85655; 85655; 85655; 85655; 85655; 85655; 85655; 85655
00498102,Höhenkirchen-Siegertsbrunn,Bayern,85649; 85635
00498104,Sauerlach,Bayern,82054
00498105,Gilching,Bayern,82205
00498106,Vaterstetten,Bayern,85598; 85646; 85591; 85604
0049811,Hallbergmoos,Bayern,85399; 85356; 85356
00498121,Markt Schwaben,Bayern,85646; 85464; 85661; 85570; 85570; 85646; 85570; 85652; 85586
00498122,Erding,Bayern,85462; 85435; 85445; 85469; 85457
00498123,Moosinning,Bayern,85737; 85452; 85467
00498124,Forstern Oberbay,Bayern,85656; 85659; 85664; 85669; 85669
00498131,Dachau,Bayern,85232; 85221; 85757
00498133,Haimhausen Oberbay,Bayern,85777; 85778
00498134,Odelzhausen,Bayern,85254; 85235; 85235; 82282; 85259
00498135,Sulzemoos,Bayern,85254; 85254
00498136,Markt Indersdorf,Bayern,85229; 85258
00498137,Petershausen,Bayern,85411; 85305; 85238
00498138,Schwabhausen b Dachau,Bayern,85247
00498139,Röhrmoos,Bayern,85244; 85256
00498141,Fürstenfeldbruck,Bayern,82239; 82223; 82275; 82216; 82256; 82216; 82216; 82216
00498142,Olching,Bayern,82194; 82216; 82140; 82223
00498143,Inning a Ammersee,Bayern,82279; 85386; 82266
00498144,Grafrath,Bayern,82284; 82288
00498145,Mammendorf,Bayern,82282; 82281; 82282; 82282; 82282; 82282; 82282; 82291; 82294; 82282; 82282; 82282; 82282; 82282
00498146,Moorenweis,Bayern,82276; 82287; 82272
00498151,Starnberg,Bayern,82335; 82319; 82319
00498152,Herrsching a Ammersee,Bayern,82346; 82211; 82229
00498153,Wessling,Bayern,82131; 82296; 82234; 82237
00498157,Feldafing,Bayern,82340; 82343
00498158,Tutzing,Bayern,82347; 82327
00498161,Freising,Bayern,85354; 85356; 85417
00498165,Neufahrn b Freising,Bayern,85376; 85376; 85376; 85376; 85375; 85376
00498166,Allershausen Oberbay,Bayern,85391; 85414; 85402
00498167,Zolling,Bayern,85410; 85406
00498168,Attenkirchen,Bayern,85395; 85395; 85406; 85395
00498170,Straßlach-Dingharting,Bayern,82041; 82064; 82041; 82064
00498171,Wolfratshausen,Bayern,82515; 82538; 82515
00498176,Egling b Wolfratshausen,Bayern,82544
00498177,Münsing Starnberger See,Bayern,82541
00498178,Icking,Bayern,82067; 82069; 82057; 82067; 82069; 82067
00498179,Eurasburg a d Loisach,Bayern,82547; 82549
00498191,Landsberg a Lech,Bayern,86916; 86899; 86929; 86940
00498192,Schondorf a Ammersee,Bayern,86926; 86938
00498193,Geltendorf,Bayern,86922; 82269; 86926; 86941; 82299; 86949
00498194,Vilgertshofen,Bayern,86934; 86943; 86946
00498195,Weil Kr Landsberg a Lech,Bayern,86937; 86947
00498196,Pürgen,Bayern,86928; 86932; 86932
00498202,Althegnenberg,Bayern,82278; 82285; 82293; 82297
00498203,Grossaitingen,Bayern,86845; 86507
00498204,Mickhausen,Bayern,86866; 86872
00498205,Dasing,Bayern,86453
00498206,Egling a d Paar,Bayern,86492; 85253; 86931; 86511
00498207,Affing,Bayern,86444
00498208,Eurasburg b Augsburg,Bayern,86495
0049821,Augsburg,Bayern,86150; 86152; 86153; 86154; 86156; 86157; 86159; 86161; 86163; 86165; 86167; 86169; 86179; 86199; 86482; 86316; 86368; 86356; 86391
00498221,Günzburg,Bayern,89347; 89312; 89359; 89340
00498222,Burgau Schwab,Bayern,89331; 89350; 89356; 89361
00498223,Ichenhausen,Bayern,89335; 89352; 89335; 89335; 89358; 89367; 89335
00498224,Offingen Donau,Bayern,89355; 89362; 89364
00498225,Jettingen-Scheppach,Bayern,89343
00498226,Bibertal,Bayern,89346
00498230,Gablingen,Bayern,86456; 86456
00498231,Königsbrunn b Augsburg,Bayern,86343; 86507
00498232,Schwabmünchen,Bayern,86836; 86836; 86836; 86853; 86836; 86830; 86836
00498233,Kissing,Bayern,86438; 86504; 86415; 86510
00498234,Bobingen,Bayern,86399; 86517
00498236,Fischach,Bayern,86850; 86514
00498237,Aindling,Bayern,86447; 86574; 86508; 86447
00498238,Gessertshausen,Bayern,86420; 86459; 86500
00498239,Langenneufnach,Bayern,86863; 86877
00498241,Buchloe,Bayern,86854; 86807; 86859; 86860; 86879
00498243,Fuchstal,Bayern,86920; 86925; 86944
00498245,Türkheim Wertach,Bayern,86871; 86842
00498246,Waal,Bayern,86875
00498247,Bad Wörishofen,Bayern,86825
00498248,Lamerdingen,Bayern,86857; 86862
00498249,Ettringen Wertach,Bayern,86833; 86856
00498250,Hilgertshausen-Tandern,Bayern,86567
00498251,Aichach,Bayern,86551; 86556; 86573
00498252,Schrobenhausen,Bayern,86561; 86529
00498253,Pöttmes,Bayern,86554
00498254,Altomünster,Bayern,85250
00498257,Inchenhofen,Bayern,86568; 86570
00498258,Sielenbach,Bayern,86559; 86577
00498259,Schiltberg,Bayern,86565; 86576
00498261,Mindelheim,Bayern,87742; 87754; 87719; 87778
00498262,Mittelneufnach,Bayern,86865; 86868
00498263,Breitenbrunn Schwab,Bayern,87739
00498265,Pfaffenhausen Schwab,Bayern,87769; 87772; 87775
00498266,Kirchheim i Schw,Bayern,87757; 87745; 87757
00498267,Dirlewang,Bayern,87742
00498268,Tussenhausen,Bayern,86874
00498269,Unteregg b Mindelheim,Bayern,87782; 87782
00498271,Meitingen,Bayern,86485; 86462; 86405
00498272,Wertingen,Bayern,86637; 86502; 86637; 86637
00498273,Nordendorf,Bayern,86695; 86678; 86679; 86707; 86695; 86707
00498274,Buttenwiesen,Bayern,86647
00498276,Baar Schwaben,Bayern,86674; 86684; 86692; 86672
00498281,Thannhausen Schwab,Bayern,86483; 86505; 86470; 86513
00498282,Krumbach Schwaben,Bayern,86480; 86488; 86489; 86491; 86381; 86480
00498283,Neuburg a d Kammel,Bayern,86476; 86633; 86519
00498284,Ziemetshausen,Bayern,86479; 86473
00498285,Burtenbach,Bayern,89349
00498291,Zusmarshausen,Bayern,86441
00498292,Dinkelscherben,Bayern,86424
00498293,Welden b Augsburg,Bayern,86486; 86494; 86465; 86465
00498294,Horgau,Bayern,86477; 86497
00498295,Altenmünster Schwab,Bayern,86450
00498296,Villenbach,Bayern,86637
00498302,Görisried,Bayern,87657; 87616
00498303,Waltenhofen,Bayern,87448
00498304,Wildpoldsried,Bayern,87490; 87499
00498306,Ronsberg,Bayern,87671; 87724; 87782
0049831,Kempten Allgäu,Bayern,87488; 87471; 87435; 87437; 87439
00498320,Missen-Wilhams,Bayern,87547
00498321,Sonthofen,Bayern,87544; 87545; 87527; 87527
00498322,Oberstdorf,Bayern,87561
00498323,Immenstadt i Allgäu,Bayern,87509
00498324,Hindelang,Bayern,87541
00498325,Oberstaufen-Thalkirchdorf,Bayern,NA
00498326,Fischen i Allgäu,Bayern,87538; 87538; 87538
00498327,Rettenberg,Bayern,87549
00498328,Balderschwang,Bayern,87538
00498330,Legau,Bayern,87764
00498331,Memmingen,Bayern,87734; 87740; 87700; 87766; 87779; 87789
00498332,Ottobeuren,Bayern,87749; 87724; 87760; 87724
00498333,Babenhausen Schwab,Bayern,87727; 87743; 86498; 87755; 89294; 87770; 87785
00498334,Bad Grönenbach,Bayern,87730; 87787
00498335,Fellheim,Bayern,87737; 87748; 87751; 87767; 87773
